date,channel,campaign_name,spend,revenue
2024-12-01,google_ads,Brand_Search,850.00,4250.00
2024-12-02,google_ads,Brand_Search,920.00,4600.00
2024-12-03,google_ads,Generic_Prospecting,1200.00,3900.00
2024-12-04,meta_ads,Retargeting_Q4,650.00,2925.00
2024-12-05,meta_ads,Engagement_Video,550.00,2200.00
2024-12-06,google_ads,Shopping_Feed,1100.00,5500.00
2024-12-07,ms_ads,Search_Premium,450.00,1800.00
2024-12-08,google_ads,Brand_Search,880.00,4400.00
2024-12-09,meta_ads,Retargeting_Q4,620.00,2790.00
2024-12-10,google_ads,Generic_Prospecting,1250.00,3750.00
2024-12-11,ms_ads,Search_Premium,480.00,1920.00
2024-12-12,google_ads,Shopping_Feed,1050.00,5250.00
2024-12-13,meta_ads,Engagement_Video,580.00,2320.00
2024-12-14,google_ads,Brand_Search,900.00,4500.00
2024-12-15,meta_ads,Retargeting_Q4,700.00,3150.00
2024-12-16,google_ads,Generic_Prospecting,1300.00,3900.00
2024-12-17,ms_ads,Search_Premium,500.00,2000.00
2024-12-18,google_ads,Shopping_Feed,1150.00,5750.00
2024-12-19,meta_ads,Engagement_Video,600.00,2400.00
2024-12-20,google_ads,Brand_Search,950.00,4750.00
2024-12-21,meta_ads,Retargeting_Q4,680.00,3060.00
2024-12-22,google_ads,Generic_Prospecting,1180.00,3540.00
2024-12-23,ms_ads,Search_Premium,520.00,2080.00
2024-12-24,google_ads,Shopping_Feed,900.00,4500.00
2024-12-25,meta_ads,Engagement_Video,400.00,1600.00
2024-12-26,google_ads,Brand_Search,820.00,4100.00
2024-12-27,meta_ads,Retargeting_Q4,750.00,3375.00
2024-12-28,google_ads,Generic_Prospecting,1350.00,4050.00
2024-12-29,ms_ads,Search_Premium,550.00,2200.00
2024-12-30,google_ads,Shopping_Feed,1200.00,6000.00
2024-12-31,meta_ads,Engagement_Video,620.00,2480.00
2025-01-01,google_ads,Brand_Search,880.00,4400.00
2025-01-02,meta_ads,Retargeting_Q4,590.00,2655.00
2025-01-03,google_ads,Generic_Prospecting,1100.00,3300.00
2025-01-04,ms_ads,Search_Premium,480.00,1920.00
2025-01-05,google_ads,Shopping_Feed,1050.00,5250.00
2025-01-06,meta_ads,Engagement_Video,560.00,2240.00
2025-01-07,google_ads,Brand_Search,910.00,4550.00
2025-01-08,meta_ads,Retargeting_Q4,630.00,2835.00
2025-01-09,google_ads,Generic_Prospecting,1220.00,3660.00
2025-01-10,ms_ads,Search_Premium,510.00,2040.00
2025-01-11,google_ads,Shopping_Feed,1100.00,5500.00
2025-01-12,meta_ads,Engagement_Video,600.00,2400.00
2025-01-13,google_ads,Brand_Search,870.00,4350.00
2025-01-14,meta_ads,Retargeting_Q4,720.00,3240.00
2025-01-15,google_ads,Generic_Prospecting,1280.00,3840.00
2025-01-16,ms_ads,Search_Premium,530.00,2120.00
2025-01-17,google_ads,Shopping_Feed,1180.00,5900.00
2025-01-18,meta_ads,Engagement_Video,580.00,2320.00
2025-01-19,google_ads,Brand_Search,940.00,4700.00
2025-01-20,meta_ads,Retargeting_Q4,650.00,2925.00
2025-01-21,google_ads,Generic_Prospecting,1150.00,3450.00
2025-01-22,ms_ads,Search_Premium,490.00,1960.00
2025-01-23,google_ads,Shopping_Feed,1060.00,5300.00
2025-01-24,meta_ads,Engagement_Video,610.00,2440.00
2025-01-25,google_ads,Brand_Search,900.00,4500.00
2025-01-26,meta_ads,Retargeting_Q4,670.00,3015.00
2025-01-27,google_ads,Generic_Prospecting,1300.00,3900.00
2025-01-28,ms_ads,Search_Premium,520.00,2080.00
2025-01-29,google_ads,Shopping_Feed,1200.00,6000.00
2025-01-30,meta_ads,Engagement_Video,590.00,2360.00
2025-01-31,google_ads,Brand_Search,850.00,4250.00
